City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Bandundu,CD,82.35,overcast clouds,-3.3167,17.3667,Coja Color
506,Kulhudhuffushi,MV,82.63,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
510,Porbandar,IN,81.23,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
512,Alugan,PH,82.58,overcast clouds,12.2188,125.4808,JM Lodge
514,Maumere,ID,78.1,overcast clouds,-8.6199,122.2111,Sylvia Hotel
516,Aitape,PG,78.44,scattered clouds,-3.1374,142.3475,
525,Banjar,ID,78.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
534,Sorrento,IT,82.53,clear sky,40.626,14.3744,Hilton Sorrento Palace
540,Dauphin,CA,80.74,haze,51.1494,-100.0502,Canway Inn & Suites
541,Lagos,NG,79.12,broken clouds,6.5833,3.75,
544,Komsomolskiy,UZ,80.02,overcast clouds,40.4272,71.7189,Ikathouse
546,Axim,GH,75.88,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
549,Katiola,CI,75.83,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
550,Fare,PF,77.05,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
557,Pathein,MM,77.13,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
559,Alexandria,EG,81.14,clear sky,31.2156,29.9553,Royal Crown Hotel
569,Kamaishi,JP,77.18,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
572,Gamboma,CG,81.14,broken clouds,-1.8764,15.8644,Residence N'Keni
576,Lewistown,US,80.91,heavy intensity rain,40.5992,-77.5714,Quality Inn & Suites
584,Lekoni,GA,79.86,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
585,Zhezkazgan,KZ,81.46,broken clouds,47.8043,67.7144,Hotel Zumrat
586,Carman,CA,84.9,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
587,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
588,Yenangyaung,MM,77.74,overcast clouds,20.4667,94.8833,Hotel Country
590,Chillicothe,US,79.52,scattered clouds,39.3331,-82.9824,Holiday Inn Express Chillicothe East
596,Valle De Allende,MX,81.75,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
599,Itarema,BR,78.58,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
